SISENSE_PRODUCT_ROLLUP_MAP,DIRECT_ECOMM_MAP,LOOKUP_MAP_UPPER,PROFORMA_LOOKUP_UPPER,SFDC_LOOKUP_UPPER,SFDC_OPEN_PIPE_LOOKUP_UPPER,DIRECT_INDIRECT,CORE_NONCORE,PBT_GROUP,AI,PRODUCT_FOR_REPORTING,PRODUCT_NAME,PRODUCT_PARENT,PRODUCT_NAME_GROUP,PRODUCT_HUB,PRODUCTGROUP,PRODUCT_FOR_REPORTING_NS,PRODUCT_FOR_REPORTING_GROUP_NS,PRODUCT_FOR_REPORTING_NS_ALIAS,PRODUCT_FOR_REPORTING_NS_ALIAS_COMBINED,PRODUCT_GROUP_MAP
Stoplight,Ecomm,STOPLIGHT_ECOMM,STOPLIGHT ECOMM,,STOPLIGHT,Indirect - Ecomm,Core,Swagger,No,Stoplight,Stoplight Ecomm,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Ecomm,API Lifecycle
Stoplight Direct,Direct,STOPLIGHT DIRECT_DIRECT,,,,Direct,Core,Swagger,No,Stoplight,Stoplight Direct,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Direct,API Lifecycle
Stoplight Ecomm,Ecomm,STOPLIGHT ECOMM_ECOMM,,,,Indirect - Ecomm,Core,Swagger,No,Stoplight,Stoplight Ecomm,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Ecomm,API Lifecycle
Swagger,Direct,SWAGGER_DIRECT,SWAGGER,SWAGGER,SWAGGERHUB,Direct,Core,Swagger,AI Enabled,Swagger Direct,Swagger Direct,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Direct,API Lifecycle
Swagger,Ecomm,SWAGGER_ECOMM,SWAGGER,,SWAGGERHUB,Indirect - Ecomm,Core,Swagger,AI Enabled,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
Test,Ecomm,TEST_ECOMM,TEST_ECOMM,,,Indirect - Ecomm,Core,Swagger,No,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,API Hub,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
Test,Direct,TEST_DIRECT,TEST_DIRECT,,,Direct,Core,Swagger,No,API Hub Test Direct,API Hub Test,API Hub Test,API,API Hub,API Hub,API Hub Test,API Lifecycle,API Hub Test,API Hub Test Direct,API Lifecycle
TestComplete,Direct,TESTCOMPLETE_DIRECT,TESTCOMPLETE,TESTCOMPLETE,TESTCOMPLETE,Direct,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Direct,Functional Test
TestEngine,Direct,TESTENGINE_DIRECT,TESTENGINE,,,Direct,Core,ReadyAPI,No,ReadyAPI Test,ReadyAPI Test,RAPI Test,API,Ready API,TestEngine,ReadyAPI Test,API Lifecycle,ReadyAPI Test,ReadyAPI Test Direct,API Lifecycle
TestServer,Direct,TESTSERVER_DIRECT,TESTSERVER,,,Direct,Core,ReadyAPI,No,TestComplete,TestComplete,TestServer,Test Hub,Test Hub,TestServer,TestComplete,Functional Test,TestComplete,TestComplete Direct,API Lifecycle
VisualTest,Direct,VISUALTEST_DIRECT,VISUALTEST,,VISUALTEST,Direct,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Direct,Test Management
VisualTest,Ecomm,VISUALTEST_ECOMM,VISUALTEST,,,Indirect - Ecomm,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Ecomm,Test Management
Zephyr E,Direct,ZEPHYR E_DIRECT,ZEPHYR E,ZEPHYR ENTERPRISE,ZEPHYR ENTERPRISE,Direct,Core,Test Management,No,Zephyr E,Zephyr E,Zephyr E,Test,Test Management,Zephyr E,Zephyr E,Test Management,Zephyr E,Zephyr E Direct,Test Management
Zephyr Scale,Ecomm,ZEPHYR SCALE_ECOMM,ZEPHYR SCALE,,ZEPHYR SCALE,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Scale,Zephyr Scale,Zephyr Scale,Marketplace,Test Management,Zephyr Scale,Zephyr Scale,Test Management,Zephyr Scale,Zephyr Scale Ecomm,Test Management
Zephyr Scale Automate,Ecomm,ZEPHYR SCALE AUTOMATE_ECOMM,ZEPHYR SCALE AUTOMATE,,ZEPHYR AUTOMATE,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Advanced,Zephyr Advanced,Zephyr Advanced,Marketplace,Test Management,Zephyr Advanced,Zephyr Advanced,Test Management,Zephyr Advanced,Zephyr Advanced Ecomm,Test Management
Zephyr Squad,Ecomm,ZEPHYR SQUAD_ECOMM,ZEPHYR SQUAD,,ZEPHYR SQUAD,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Zephyr Advanced,Ecomm,ZEPHYR ADVANCED_ECOMM,,,,Indirect - Atlassian,Core,Atlassian,AI Native,Zephyr Advanced,Zephyr Advanced,Zephyr Advanced,Marketplace,Test Management,Zephyr Advanced,Zephyr Advanced,Test Management,Zephyr Advanced,Zephyr Advanced Ecomm,Test Management
